round_id,scene_id,qx,qy,qz,qw,x,y,z,width,score,label,integration_time,planning_time
0,f5f650da732b46f38124defacf004ed4,-0.7747027121730491,-0.6209879392335279,-0.11359910437874138,0.03612382264608608,0.09000000000000002,0.12000000000000002,0.10500000000000002,0.03793199658393861,0.91301763,1,0.014338493347167969,0.1192634105682373
8,4b02845714904f84bb003e58bb772254,-0.8513289844968999,-0.5119578335483933,-0.1104637553531911,0.030592410450686086,0.13500000000000004,0.09750000000000002,0.10500000000000002,0.032860890626907356,0.9310469,1,0.013237714767456055,0.049849510192871094
10,8ef7ea627dd34786b9cff548c4f0ffeb,-0.9979129407353621,-0.049910090732275265,0.03795871128576936,0.01542341705075478,0.16500000000000004,0.15750000000000003,0.11250000000000002,0.03881452918052674,0.9120983,1,0.02093815803527832,0.054230690002441406
11,38863ac034fa4b3c9073c50c2612071f,-0.9467246045231075,0.3166352943549958,-0.02850810105419927,0.051399433202849114,0.10500000000000002,0.13500000000000004,0.11250000000000002,0.04115831494331361,0.9206242,1,0.022488832473754883,0.08472442626953125
13,90d42bd780a447a78f0755812f417ad8,-0.8766274640148879,-0.40525234839186663,-0.25345428598162506,0.05527882393148346,0.09750000000000002,0.09000000000000002,0.10500000000000002,0.03279612064361573,0.9414506,1,0.019723892211914062,0.05907487869262695
15,cc683a18ce534fac9b28f357fdd31709,-0.892357526204563,-0.39918890191871736,-0.20940145711701255,0.022300129333105746,0.09000000000000002,0.14250000000000002,0.11250000000000002,0.035149676799774175,0.9564418,1,0.015950679779052734,0.059056997299194336
17,d9aa312329f140c385d96d2086143692,-0.9748288880182321,-0.11259163045292274,-0.17609286111599404,0.07760842802861624,0.14250000000000002,0.10500000000000002,0.10500000000000002,0.03354989290237428,0.9110058,0,0.02010035514831543,0.05498027801513672
18,09b3c40a012941629ad636479900ad14,-0.9537101177601965,-0.2913853759862944,-0.07049174451304765,-0.023716827331352785,0.09750000000000002,0.17250000000000004,0.10500000000000002,0.0364527189731598,0.91559947,1,0.013445854187011719,0.05681920051574707
20,fd42d3c781f4462d83bc4e5946560c25,-0.9880458138545567,0.06519691267319785,-0.07949354037739001,0.11487214344930785,0.11250000000000002,0.14250000000000002,0.11250000000000002,0.037830401659011845,0.9347329,0,0.020596027374267578,0.05148720741271973
21,3c1dc340c7cf40e3bcd08c0384a0558b,-0.8706382262944365,-0.4914830185849251,0.014330765752096918,-0.015104651948533084,0.11250000000000002,0.10500000000000002,0.12000000000000002,0.037085852622985846,0.98696804,1,0.019872188568115234,0.05113983154296875
26,41158e496cf945ebae425becdb3c4c2c,-0.7357368144366421,-0.6416073754243803,-0.18272372273418946,0.11680478086884728,0.11250000000000002,0.06750000000000002,0.10500000000000002,0.03840348958969117,0.9442804,1,0.021611690521240234,0.05203676223754883
28,2afb5c57c7d64445b049585ebc01693a,-0.9562641801384486,0.28362051895720924,0.03360919056633201,-0.06315569111378722,0.12000000000000002,0.18000000000000005,0.11250000000000002,0.03563031792640687,0.94607955,1,0.019374370574951172,0.05058598518371582
32,15203acce3b945f7a554a3b46b4bd05e,-0.9545564503896689,0.2900945616270402,-0.06072006274092137,0.03130818287013454,0.13500000000000004,0.15000000000000002,0.15750000000000003,0.026368097662925725,0.99239224,1,0.012928247451782227,0.05125761032104492
32,c7b6d509a5384433b64ab422cf1fd944,-0.9427475021961035,-0.3198376096546953,0.04914876594600921,0.08071833347736417,0.19500000000000003,0.13500000000000004,0.10500000000000002,0.03216718196868897,0.9424777,0,0.01280665397644043,0.05011463165283203
32,c15824cf973e4fd5a90f7e7610c140d4,-0.9154930565553467,0.4021116431339147,0.006692038742829818,-0.011571796427369802,0.19500000000000003,0.15000000000000002,0.10500000000000002,0.03908827900886536,0.9154181,1,0.012907028198242188,0.05023598670959473
37,d1294f7fa94b4d448a69f66954ef863d,-0.8633732167067905,-0.4971538167300771,-0.07601075590757485,0.040584925408894613,0.09750000000000002,0.10500000000000002,0.10500000000000002,0.029387993216514592,0.9433495,1,0.012822151184082031,0.04954338073730469
45,bb2a46ed5f4243b085270f5444aba804,-0.9126075801935242,0.40779160111283647,-0.024107684519291395,0.016499520667822315,0.15750000000000003,0.13500000000000004,0.11250000000000002,0.039936418533325205,0.96261454,1,0.012588262557983398,0.04987502098083496
47,8c529a4c9a054ac5b1fb06f8c7150fb8,-0.8338793199210165,-0.5486710459065987,0.03008534831196288,-0.051963785550802596,0.16500000000000004,0.18000000000000005,0.11250000000000002,0.03625932455062867,0.96988493,1,0.012641191482543945,0.0505831241607666
48,9fa485a963f0421ea9f0b5c7ca234aa8,-0.9410420202704597,-0.33385718374523904,0.017098427077850586,0.05183570910533591,0.10500000000000002,0.09750000000000002,0.10500000000000002,0.031924796104431157,0.91224396,1,0.013267040252685547,0.049666404724121094
52,c829846b93434f1b917becab8fb79af7,-0.996916918663451,-0.004538146443103991,-0.07647816310559281,0.016945591681185458,0.17250000000000004,0.13500000000000004,0.14250000000000002,0.028010755777359016,0.9930053,1,0.019240617752075195,0.05051827430725098
